Date,Symbol,Close,High,Low,Open,Volume,day_of_week,is_weekend,days_since_last_trade
2021-07-25,GOOGL,132.2220154,,,,,6,True,2
2021-08-01,GOOGL,133.9233093,,,,,6,True,2
2021-08-08,GOOGL,134.9292908,,,,,6,True,2
2021-08-15,GOOGL,136.9064331,,,,,6,True,2
2021-08-22,GOOGL,136.6101837,,,,,6,True,2
2021-08-29,GOOGL,143.1454926,,,,,6,True,2
2021-09-05,GOOGL,142.8825684,,,,,6,True,2
2021-09-12,GOOGL,140.0361633,,,,,6,True,2
2021-09-19,GOOGL,139.9606323,,,,,6,True,2
2021-09-26,GOOGL,141.3671722,,,,,6,True,2
2021-10-03,GOOGL,135.7289734,,,,,6,True,2
2021-10-10,GOOGL,138.9521484,,,,,6,True,2
2021-10-17,GOOGL,140.5252228,,,,,6,True,2
2021-10-24,GOOGL,136.7463837,,,,,6,True,2
2021-10-31,GOOGL,147.1634369,,,,,6,True,2
2021-11-07,GOOGL,147.9645996,,,,,6,True,2
2021-11-14,GOOGL,147.791626,,,,,6,True,2
2021-11-21,GOOGL,148.0386505,,,,,6,True,2
2021-11-28,GOOGL,141.3353577,,,,,6,True,2
2021-12-05,GOOGL,141.1549377,,,,,6,True,2
2021-12-12,GOOGL,147.1191711,,,,,6,True,2
2021-12-19,GOOGL,140.8800964,,,,,6,True,2
2021-12-25,GOOGL,146.0406342,,,,,5,True,2
2021-12-26,GOOGL,146.0406342,,,,,6,True,3
2022-01-02,GOOGL,143.9884644,,,,,6,True,2
2022-01-09,GOOGL,136.2001495,,,,,6,True,2
2022-01-16,GOOGL,138.6489716,,,,,6,True,2
2022-01-23,GOOGL,129.5744171,,,,,6,True,2
2022-01-30,GOOGL,132.556015,,,,,6,True,2
2022-02-06,GOOGL,142.4387512,,,,,6,True,2
2022-02-13,GOOGL,133.4819489,,,,,6,True,2
2022-02-20,GOOGL,129.6255798,,,,,6,True,2
2022-02-27,GOOGL,133.6578979,,,,,6,True,2
2022-03-06,GOOGL,131.1201019,,,,,6,True,2
2022-03-13,GOOGL,129.096283,,,,,6,True,2
2022-03-20,GOOGL,135.3139801,,,,,6,True,2
2022-03-27,GOOGL,140.8283844,,,,,6,True,2
2022-04-03,GOOGL,139.3149719,,,,,6,True,2
2022-04-10,GOOGL,132.4929047,,,,,6,True,2
2022-04-16,GOOGL,125.9744873,,,,,5,True,2
2022-04-17,GOOGL,125.9744873,,,,,6,True,3
2022-04-24,GOOGL,118.9222794,,,,,6,True,2
2022-05-01,GOOGL,113.4292221,,,,,6,True,2
2022-05-08,GOOGL,115.0564651,,,,,6,True,2
2022-05-15,GOOGL,115.3586578,,,,,6,True,2
2022-05-22,GOOGL,108.258728,,,,,6,True,2
2022-05-29,GOOGL,111.6469116,,,,,6,True,2
2022-06-05,GOOGL,113.8581467,,,,,6,True,2
2022-06-12,GOOGL,110.4988022,,,,,6,True,2
2022-06-19,GOOGL,106.5047607,,,,,6,True,2
2022-06-26,GOOGL,117.2716827,,,,,6,True,2
2022-07-03,GOOGL,108.0892563,,,,,6,True,2
2022-07-10,GOOGL,118.6419601,,,,,6,True,2
2022-07-17,GOOGL,111.1111221,,,,,6,True,2
2022-07-24,GOOGL,107.2567444,,,,,6,True,2
2022-07-31,GOOGL,115.6265488,,,,,6,True,2
2022-08-07,GOOGL,116.7696915,,,,,6,True,2
2022-08-14,GOOGL,120.9545975,,,,,6,True,2
2022-08-21,GOOGL,116.5112381,,,,,6,True,2
2022-08-28,GOOGL,109.6822052,,,,,6,True,2
2022-09-04,GOOGL,107.2070389,,,,,6,True,2
2022-09-11,GOOGL,109.9903488,,,,,6,True,2
2022-09-18,GOOGL,102.1871643,,,,,6,True,2
2022-09-25,GOOGL,98.15135193,,,,,6,True,2
2022-10-02,GOOGL,95.07977295,,,,,6,True,2
2022-10-09,GOOGL,98.09172058,,,,,6,True,2
2022-10-16,GOOGL,95.98434448,,,,,6,True,2
2022-10-23,GOOGL,100.5270996,,,,,6,True,2
