Date,RMSE,RMSE_prev,RMSE_next
2025-07-13,20.456332400000008,18.370192400000008,30.067517600000002
2025-07-19,29.02393760000001,38.05938760000001,41.97038760000001
2025-07-20,41.97038760000001,29.02393760000001,40.9263761
2025-07-26,52.06387270000002,40.145282700000024,47.68905270000002
2025-07-27,47.68905270000002,52.06387270000002,47.103561799999994
2025-08-02,44.75390489999998,25.357724899999994,31.333164899999986
2025-08-03,31.333164899999986,44.75390489999998,59.03781329999998
2025-08-09,37.20441820000002,59.5772882,36.74825820000001
2025-08-10,36.74825820000001,37.20441820000002,43.54831999999999
2025-08-16,68.0516039,74.8647339,83.11836389999999
2025-08-17,83.11836389999999,68.0516039,78.07924
